! (C) Copyright TOSHIBA CORPORATION 2016
! Date: 		2003-01-20
! Part Number: 		2SK3475
! Model:		RF-MOSFET


!          2SK3475         20030120

VAR        vds = 3.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 1

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

 1100000000  0.830  -168.2   0.701    17.6  0.0400   -56.6   0.852  -177.8

 1150000000  0.836  -169.8   0.647    15.3  0.0383   -57.8   0.856  -179.0

 1200000000  0.841  -171.3   0.601    13.0  0.0366   -59.0   0.861   179.9

 1250000000  0.847  -172.8   0.558    10.9  0.0350   -60.0   0.865   178.7

 1300000000  0.851  -174.3   0.517     9.0  0.0336   -60.9   0.869   177.6

 1350000000  0.856  -175.7   0.481     7.8  0.0323   -61.6   0.872   176.6

 1400000000  0.860  -177.0   0.456     6.7  0.0312   -62.7   0.876   175.5

 1450000000  0.863  -178.4   0.432     4.8  0.0299   -63.8   0.879   174.4

 1500000000  0.867  -179.7   0.405     3.1  0.0286   -64.8   0.882   173.4

 1550000000  0.870   179.1   0.379     2.1  0.0273   -65.2   0.885   172.4

 1600000000  0.873   177.8   0.361     2.0  0.0265   -65.3   0.889   171.4

 1650000000  0.875   176.6   0.351     1.3  0.0259   -66.3   0.892   170.4

 1700000000  0.878   175.4   0.341    -0.9  0.0248   -68.0   0.894   169.4

 1750000000  0.880   174.2   0.324    -2.9  0.0235   -68.8   0.897   168.4

 1800000000  0.882   173.1   0.307    -3.9  0.0225   -68.9   0.900   167.4

 1850000000  0.884   171.9   0.297    -4.1  0.0217   -68.8   0.902   166.4

 1900000000  0.885   171.3   0.295    -4.2  0.0215   -69.3   0.904   166.0

 1950000000  0.886   170.8   0.295    -5.1  0.0212   -70.3   0.905   165.5

 2000000000  0.887   170.3   0.293    -6.8  0.0206   -71.6   0.906   165.1

END ACDATA



VAR        vds = 3.0

VAR        id = 0.100

!          REM     DATA    NUMBER = 6

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.947   -38.5  11.262   151.4  0.0306    61.6   0.333   -79.9

  100000000  0.851   -68.7   9.104   129.3  0.0495    40.5   0.479  -112.3

  150000000  0.780   -89.8   7.230   113.5  0.0593    25.4   0.562  -129.0

  200000000  0.739  -104.7   5.869   102.5  0.0628    14.7   0.612  -139.0

  250000000  0.717  -115.4   4.895    92.7  0.0657     6.0   0.645  -145.7

  300000000  0.708  -123.5   4.115    84.7  0.0658    -1.5   0.670  -150.3

  350000000  0.706  -129.8   3.535    77.5  0.0654    -7.1   0.690  -153.9

  400000000  0.709  -134.8   3.035    71.2  0.0648   -12.7   0.707  -156.8

